,xrsb
1997-01-01,5.2177818e-09
1997-01-02,5.3927023e-09
1997-01-03,5.3576543e-09
1997-01-04,6.0394085e-09
1997-01-05,1.2795997e-08
1997-01-06,8.500754e-09
1997-01-07,7.912837e-09
1997-01-08,8.161721e-09
1997-01-09,8.026185e-09
1997-01-10,1.5984291e-08
1997-01-11,9.737807e-09
1997-01-12,9.482655e-09
1997-01-13,8.026359e-09
1997-01-14,8.361238e-09
1997-01-15,1.2980111e-08
1997-01-16,1.0020791e-08
1997-01-17,6.521693e-09
1997-01-18,6.872697e-09
1997-01-19,6.116217e-09
1997-01-20,1.2407079e-08
1997-01-21,4.8390842e-09
1997-01-22,6.5479178e-09
1997-01-23,6.138492e-09
1997-01-24,4.228029e-09
1997-01-25,5.3687996e-09
1997-01-26,5.8855605e-09
1997-01-27,7.84966e-09
1997-01-28,8.007351e-09
1997-01-29,2.2983983e-08
1997-01-30,1.0499686e-08
1997-01-31,6.8026114e-09
1997-02-01,7.289722e-09
1997-02-02,1.21159e-07
1997-02-03,9.957784e-08
1997-02-04,1.02462074e-07
1997-02-05,2.827977e-08
1997-02-06,1.9748747e-08
1997-02-07,4.4915517e-08
1997-02-08,3.2848707e-08
1997-02-09,2.8804198e-08
1997-02-10,1.4129282e-08
1997-02-11,7.121239e-09
1997-02-12,4.9710045e-09
1997-02-13,4.7602304e-09
1997-02-14,4.7227013e-09
1997-02-15,4.595108e-09
1997-02-16,4.7541433e-09
1997-02-17,5.227344e-09
1997-02-18,7.9876035e-09
1997-02-19,2.4828624e-08
1997-02-20,8.016403e-08
1997-02-21,2.9727811e-08
1997-02-22,1.1620134e-08
1997-02-23,9.6070245e-08
1997-02-24,1.0735499e-08
1997-02-25,1.0521443e-08
1997-02-26,7.62547e-09
1997-02-27,7.0763266e-09
1997-02-28,8.55805e-09
1997-03-01,9.395736e-09
1997-03-02,7.904303e-09
1997-03-03,7.671723e-09
1997-03-04,1.2942942e-08
1997-03-05,3.3249606e-08
1997-03-06,5.1147484e-08
1997-03-07,3.0565566e-08
1997-03-08,2.6555655e-08
1997-03-09,8.785517e-08
1997-03-10,2.5732755e-08
1997-03-11,2.0535499e-08
1997-03-12,1.8818366e-08
1997-03-13,1.568023e-08
1997-03-14,1.9208086e-08
1997-03-15,1.7565608e-08
1997-03-16,2.091319e-08
1997-03-17,2.8369698e-08
1997-03-18,1.3900141e-08
1997-03-19,1.0701552e-08
1997-03-20,7.47109e-09
1997-03-21,4.62604e-09
1997-03-22,4.603508e-09
1997-03-23,4.8607474e-09
1997-03-24,4.9929714e-09
1997-03-25,5.747985e-09
1997-03-26,6.7834827e-09
1997-03-27,1.1429935e-07
1997-03-28,7.692223e-08
1997-03-29,6.612065e-08
1997-03-30,4.1370612e-08
1997-03-31,3.6318752e-08
1997-04-01,1.903416e-07
1997-04-02,1.4081272e-07
1997-04-03,1.4088023e-07
1997-04-04,3.901935e-08
1997-04-05,6.975907e-08
1997-04-06,6.362394e-08
1997-04-07,2.4104924e-07
1997-04-08,2.7646964e-08
1997-04-09,7.545771e-08
1997-04-10,3.46737e-08
1997-04-11,2.0664377e-08
1997-04-12,2.2045851e-08
1997-04-13,6.270882e-08
1997-04-14,1.1935074e-07
1997-04-15,1.7448458e-07
1997-04-16,7.336838e-08
1997-04-17,3.8792102e-08
1997-04-18,1.1017786e-08
1997-04-19,7.2420403e-09
1997-04-20,6.499207e-09
1997-04-21,5.51359e-09
1997-04-22,5.817868e-09
1997-04-23,5.0646314e-09
1997-04-24,5.270254e-09
1997-04-25,5.012701e-09
1997-04-26,1.8307901e-08
1997-04-27,1.8825482e-08
1997-04-28,1.00120205e-08
1997-04-29,8.719058e-09
1997-04-30,2.09566e-08
1997-05-01,1.1882474e-08
1997-05-02,9.29661e-09
1997-05-03,1.2616513e-08
1997-05-04,2.4688054e-08
1997-05-05,4.0357197e-08
1997-05-06,1.5005153e-08
1997-05-07,1.6805746e-08
1997-05-08,1.0348908e-08
1997-05-09,8.3681035e-09
1997-05-10,2.0532692e-08
1997-05-11,9.895966e-09
1997-05-12,6.936531e-08
1997-05-13,3.7606316e-08
1997-05-14,3.7847567e-08
1997-05-15,1.9028743e-08
1997-05-16,1.6563538e-08
1997-05-17,5.844268e-08
1997-05-18,2.9043294e-08
1997-05-19,4.6709488e-08
1997-05-20,1.02551724e-07
1997-05-21,4.7287966e-07
1997-05-22,1.2109315e-07
1997-05-23,9.2789286e-08
1997-05-24,7.162105e-08
1997-05-25,1.430499e-07
1997-05-26,1.5868984e-07
1997-05-27,3.091599e-07
1997-05-28,1.328669e-07
1997-05-29,3.6629228e-08
1997-05-30,2.2773646e-08
1997-05-31,2.7863823e-08
1997-06-01,5.8875845e-08
1997-06-02,3.7387117e-08
1997-06-03,3.9045187e-08
1997-06-04,2.3935826e-08
1997-06-05,2.1754817e-08
1997-06-06,2.4652088e-08
1997-06-07,3.683659e-08
1997-06-08,2.9710137e-08
1997-06-09,3.611092e-08
1997-06-10,1.8401698e-08
1997-06-11,1.48998565e-08
1997-06-12,9.234524e-09
1997-06-13,1.0405336e-08
1997-06-14,8.43773e-09
1997-06-15,1.044847e-08
1997-06-16,1.45705314e-08
1997-06-17,9.94012e-09
1997-06-18,8.951974e-09
1997-06-19,8.526694e-09
1997-06-20,7.668374e-09
1997-06-21,5.883953e-09
1997-06-22,6.381992e-09
1997-06-23,6.6704375e-09
